Source Name               Right Asc.           Declination

0005+544 ................ 0.084545 ........... 54.473594 
0006-063 ................ 0.103859 ........... -6.393148 
0008+686 ................ 0.142632 ........... 68.622791 
0010+109 ................ 0.175280 ........... 10.974864 
0013+408 ................ 0.225314 ........... 40.860318 
0019+734 ................ 0.329385 ........... 73.458339 
0025-260 ................ 0.430324 ........... -26.036860 
0025-260 ................ 0.430325 ........... -26.036860 
0038+416 ................ 0.640235 ........... 41.618322 
0050-094 ................ 0.844810 ........... -9.484779 
0102+584 ................ 1.046044 ........... 58.403094 
0106-405 ................ 1.112530 ........... -40.572210 
0108+015 ................ 1.144103 ........... 1.583422 
0115-014 ................ 1.254750 ........... -1.451271 
0116-116 ................ 1.270145 ........... -11.604287 
0120-153 ................ 1.340888 ........... -15.337953 
0121+043 ................ 1.365795 ........... 4.373539 
0125-000 ................ 1.424679 ........... -0.098879 
0136+478 ................ 1.616276 ........... 47.858084 
0137+331 ................ 1.628139 ........... 33.159759 
0141-094 ................ 1.690509 ........... -9.478798 
0152+221 ................ 1.871683 ........... 22.118806 
0204+152 ................ 2.080671 ........... 15.236401 
0204+152 ................ 2.080671 ........... 15.236401 
0205+322 ................ 2.084702 ........... 32.208360 
0217+738 ................ 2.291892 ........... 73.825729 
0221+359 ................ 2.351520 ........... 35.937164 
0224+069 ................ 2.407897 ........... 6.989818 
0228+673 ................ 2.480570 ........... 67.350842 
0231+133 ................ 2.529415 ........... 13.381866 
0237+288 ................ 2.631224 ........... 28.802498 
0238+166 ................ 2.644147 ........... 16.616466 
0239-025 ................ 2.662631 ........... -2.578053 
0240-231 ................ 2.668937 ........... -23.154370 
0240-231 ................ 2.668938 ........... -23.154372 
0242+110 ................ 2.708103 ........... 11.016869 
0251+432 ................ 2.859595 ........... 43.254387 
0303+472 ................ 3.059789 ........... 47.271188 
0309+104 ................ 3.151007 ........... 10.487873 
0318+164 ................ 3.316056 ........... 16.475750 
0319+415 ................ 3.330044 ........... 41.511695 
0319+415 ................ 3.330044 ........... 41.511696 
0329-239 ................ 3.498353 ........... -23.952391 
0334-401 ................ 3.570460 ........... -40.140388 
0336+323 ................ 3.608363 ........... 32.308151 
0339-017 ................ 3.658594 ........... -1.776611 
0340-213 ................ 3.676558 ........... -21.325325 
0348-278 ................ 3.810597 ........... -27.820361 
0357+233 ................ 3.956002 ........... 23.331627 
0359+509 ................ 3.991596 ........... 50.963934 
0359+509 ................ 3.991597 ........... 50.963934 
0403-360 ................ 4.064931 ........... -36.083864 
0405-131 ................ 4.092779 ........... -13.137136 
0406-384 ................ 4.116413 ........... -38.440756 
0407-121 ................ 4.130120 ........... -12.193522 
0410+769 ................ 4.179335 ........... 76.945917 
0416-188 ................ 4.276818 ........... -18.852317 
0423+418 ................ 4.398892 ........... 41.834087 
0423-013 ................ 4.387722 ........... -1.342518 
0424+006 ................ 4.413012 ........... 0.601758 
0424-379 ................ 4.411736 ........... -37.939064 
0428-379 ................ 4.477898 ........... -37.938752 
0431+206 ................ 4.517710 ........... 20.626181 
0432+416 ................ 4.543473 ........... 41.641231 
0432+416 ................ 4.543473 ........... 41.641236 
0433+053 ................ 4.553082 ........... 5.354340 
0437+296 ................ 4.617826 ........... 29.670871 
0437+296 ................ 4.617882 ........... 29.670506 
0440-435 ................ 4.671439 ........... -43.552389 
0442-002 ................ 4.710739 ........... -0.295394 
0449+113 ................ 4.818797 ........... 11.357944 
0449-391 ................ 4.828405 ........... -39.185849 
0455-205 ................ 4.923240 ........... -20.570698 
0457-234 ................ 4.950883 ........... -23.414450 
0501-019 ................ 5.020225 ........... -1.987293 
0502+252 ................ 5.049606 ........... 25.273401 
0503+020 ................ 5.055888 ........... 2.051300 
0513-219 ................ 5.230310 ........... -21.987803 
0521+166 ................ 5.352746 ........... 16.639459 
0521+166 ................ 5.352751 ........... 16.639477 
0522-364 ................ 5.382781 ........... -36.458861 
0530+135 ................ 5.515671 ........... 13.531986 
0530-250 ................ 5.502213 ........... -25.058281 
0532+075 ................ 5.544166 ........... 7.545361 
0533+483 ................ 5.554407 ........... 48.381335 
0534+194 ................ 5.579033 ........... 19.455938 
